"","emails"
"1","webmaster@jccm.es"
"2","vicepresidencia@jccm.es"
"3","vicepresidencia@jccm.es"
"4","webmaster@jccm.es"
"5","gabinete.bienestarsocial@jccm.es"
"6","gabinete.bienestarsocial@jccm.es"
"7","webmaster@jccm.es"
"8","webmaster@jccm.es"
"9","webmaster@jccm.es"
"10","webmaster@jccm.es"
"11","webmaster@jccm.es"
"12","webmaster@jccm.es"
"13","webmaster@jccm.es"
"14","webmaster@jccm.es"
"15","webmaster@jccm.es"
"16","webmaster@jccm.es"
"17","vicepresidencia@jccm.es"
"18","vicepresidencia@jccm.es"
"19","webmaster@jccm.es"
"20","webmaster@jccm.es"
"21","webmaster@jccm.es"
"22","webmaster@jccm.es"
"23","webmaster@jccm.es"
"24","gabinete.economiaempresasempleo@jccm.es"
"25","gabinete.economiaempresasempleo@jccm.es"
"26","webmaster@jccm.es"
"27","gabinete.haciendaaapp@jccm.es"
"28","gabinete.haciendaaapp@jccm.es"
"29","webmaster@jccm.es"
"30","igualdadyportavoz@jccm.es"
"31","igualdadyportavoz@jccm.es"
"32","webmaster@jccm.es"
"33","webmaster@jccm.es"
"34","gabinete.sanidad@jccm.es"
"35","gabinete.sanidad@jccm.es"
"36","webmaster@jccm.es"
"37","gabinete.agricultura@jccm.es"
"38","gabinete.agricultura@jccm.es"
"39","webmaster@jccm.es"
"40","webmaster@jccm.es"
"41","gabinete.fomento@jccm.es"
"42","gabinete.fomento@jccm.es"
"43","webmaster@jccm.es"
"44","gabinete.desarrollosostenible@jccm.es"
"45","gabinete.desarrollosostenible@jccm.es"
"46","webmaster@jccm.es"
"47","webmaster@jccm.es"
"48","webmaster@jccm.es"
"49","webmaster@jccm.es"
"50","protecciondatos@jccm.es"
"51","protecciondatos@jccm.es"
"52","webmaster@jccm.es"
"53","webmaster@jccm.es"
"54","webmaster@jccm.es"
"55","webmaster@jccm.es"
"56","gabinete.presidente@jccm.es"
"57","director.gabinete.presidente@jccm.es"
"58","director.gabinete.presidente@jccm.es"
"59","dg.coordinacion.informativa@jccm.es"
"60","dg.coordinacion.informativa@jccm.es"
"61","gabinete.presidente@jccm.es"
"62","gabinete.presidente@jccm.es"
"63","sg.presidencia@jccm.es"
"64","sg.presidencia@jccm.es"
"65","webmaster@jccm.es"
"66","webmaster@jccm.es"
"67","webmaster@jccm.es"
"68","webmaster@jccm.es"
"69","webmaster@jccm.es"
"70","webmaster@jccm.es"
"71","vicepresidencia@jccm.es"
"72","vicepresidencia@jccm.es"
"73","webmaster@jccm.es"
"74","webmaster@jccm.es"
"75","webmaster@jccm.es"
"76","webmaster@jccm.es"
"77","webmaster@jccm.es"
"78","webmaster@jccm.es"
"79","webmaster@jccm.es"
"80","webmaster@jccm.es"
"81","webmaster@jccm.es"
"82","webmaster@jccm.es"
"83","webmaster@jccm.es"
"84","webmaster@jccm.es"
"85","webmaster@jccm.es"
"86","vicepresidencia@jccm.es"
"87","vicepresidencia@jccm.es"
"88","vicepresidencia@jccm.es"
"89","vicepresidencia@jccm.es"
"90","relacionesinstitucionales@jccm.es"
"91","relacionesinstitucionales@jccm.es"
"92","dgcortes@jccm.es"
"93","dgcortes@jccm.es"
"94","dgasuntoseuropeos@jccm.es"
"95","dgasuntoseuropeos@jccm.es"
"96","DGpromocioninstitucional@jccm.es"
"97","DGpromocioninstitucional@jccm.es"
"98","dg.coordinacion-planificacion@jccm.es"
"99","dg.coordinacion-planificacion@jccm.es"
"100","secretariaotbgp@jccm.es"
"101","secretariaotbgp@jccm.es"
"102","gabinetejuridico@jccm.es"
"103","gabinetejuridico@jccm.es"
"104","direcciongeneral@cmmedia.es"
"105","direcciongeneral@cmmedia.es"
"106","webmaster@jccm.es"
"107","webmaster@jccm.es"
"108","webmaster@jccm.es"
"109","dgasuntoseuropeos@jccm.es"
"110","dgasuntoseuropeos@jccm.es"
"111","europa@jccm.es"
"112","europa@jccm.es"
"113","oficina.bruselas@jccm.es"
"114","oficina.bruselas@jccm.es"
"115","wght@400;600"
"116","wght@400;700"
"117","wght@100;300"
"118","wght@400;600"
"119","wght@400;700"
"120","wght@100;300"
"121","gabinetejuridico@jccm.es"
"122","gabinetejuridico@jccm.es"
"123","dgpftfc@jccm.es"
"124","dgpftfc@jccm.es"
"125","viceconsejeria.economiaempresasempleo@jccm.es"
"126","viceconsejeria.economiaempresasempleo@jccm.es"
"127","dgdr@jccm.es"
"128","dgdr@jccm.es"
"129","dg.coordinacion-planificacion@jccm.es"
"130","dg.coordinacion-planificacion@jccm.es"
"131","retodemografico.clm@jccm.es"
"132","retodemografico.clm@jccm.es"
"133","webmaster@jccm.es"
"134","webmaster@jccm.es"
"135","webmaster@jccm.es"
"136","webmaster@jccm.es"
"137","webmaster@jccm.es"
"138","fondosestructuralesclm@jccm.es"
"139","webmaster@jccm.es"
"140","protecciondatos@jccm.es"
"141","protecciondatos@jccm.es"
"142","webmaster@jccm.es"
"143","webmaster@jccm.es"
"144","webmaster@jccm.es"
"145","webmaster@jccm.es"
"146","webmaster@jccm.es"
"147","webmaster@jccm.es"
