"","emails"
"1","lag.mdib@gmail.com"
"2","lag.mdib@gmail.com"
"3","opcina-domasinec@ck.t-com.hr"
"4","opcina-domasinec@ck.t-com.hr"
"5","lag.mdib@gmail.com"
"6","lag.mdib@gmail.com"
"7","info@gornjimihaljevec.hr"
"8","info@gornjimihaljevec.hr"
"9","opcina.gornji.mihaljevec@gmail.com"
"10","opcina.gornji.mihaljevec@gmail.com"
"11","lag.mdib@gmail.com"
"12","lag.mdib@gmail.com"
"13","opcina@opcina-mala-subotica.hr"
"14","opcina@opcina-mala-subotica.hr"
"15","lag.mdib@gmail.com"
"16","lag.mdib@gmail.com"
"17","grad-mursko-sredisce@ck.t-com.hr"
"18","grad-mursko-sredisce@ck.t-com.hr"
"19","lag.mdib@gmail.com"
"20","lag.mdib@gmail.com"
"21","nedelisce@nedelisce.hr"
"22","nedelisce@nedelisce.hr"
"23","lag.mdib@gmail.com"
"24","lag.mdib@gmail.com"
"25","opcina-podturen@ck.t-com.hr"
"26","opcina-podturen@ck.t-com.hr"
"27","lag.mdib@gmail.com"
"28","lag.mdib@gmail.com"
"29","nacelnica@pribislavec.hr"
"30","nacelnik@pribislavec.hr"
"31","info@pribislavec.hr"
"32","info@pribislavec.hr"
"33","lag.mdib@gmail.com"
"34","lag.mdib@gmail.com"
"35","opcina-selnica@ck.t-com.hr"
"36","opcina-selnica@ck.t-com.hr"
"37","lag.mdib@gmail.com"
"38","lag.mdib@gmail.com"
"39","info@strahoninec.hr"
"40","info@strahoninec.hr"
"41","lag.mdib@gmail.com"
"42","lag.mdib@gmail.com"
"43","juo@svetijurajnabregu.hr"
"44","juo@svetijurajnabregu.hr"
"45","lag.mdib@gmail.com"
"46","lag.mdib@gmail.com"
"47","lag.mdib@gmail.com"
"48","lag.mdib@gmail.com"
"49","opcina.svmartin@gmail.com"
"50","opcina.svmartin@gmail.com"
"51","lag.mdib@gmail.com"
"52","lag.mdib@gmail.com"
"53","opcina@senkovec.hr"
"54","opcina@senkovec.hr"
"55","lag.mdib@gmail.com"
"56","lag.mdib@gmail.com"
"57","opcina.strigova@ck.t-com.hr"
"58","opcina.strigova@ck.t-com.hr"
