"","emails"
"1","segreteria_generale@assovolo.it"
"2","segreteria_generale@assovolo.it"
"3","segreteria_nazionale@assovolo.it"
"4","segreteria_nazionale@assovolo.it"
"5","segreteria_generale@assovolo.it"
"6","segreteria_generale@assovolo.it"
"7","segreteria_nazionale@assovolo.it"
"8","segreteria_nazionale@assovolo.it"
"9","ufficio.privacy@assolavoratori.it"
"10","segreteria@pec.assovolo.it"
"11","ufficio.privacy@assovolo.it"
"12","dpo@assovolo.it"
"13","segreteria@sindacatonazionaleautonomo.it"
"14","segreteria_generale@assovolo.it"
"15","segreteria_generale@assovolo.it"
"16","segreteria_nazionale@assovolo.it"
"17","segreteria_nazionale@assovolo.it"
"18","segreteria@assovolo.it"
"19","segreteria@assovolo.it"
