"","emails"
"1","privacy@holcim.com"
"2","privacy@holcim.com"
"3","privacy@holcim.com"
"4","privacy@holcim.com"
"5","webmaster.lh@holcim.com"
"6","webmaster.lh@holcim.com"
"7","privacy@holcim.com"
"8","privacy@holcim.com"
"9","privacy@holcim.com"
"10","privacy@holcim.com"
"11","privacy@holcim.com"
"12","privacy@holcim.com"
"13","privacy@holcim.com"
"14","privacy@holcim.com"
"15","investor.relations@holcim.com"
"16","investor.relations@holcim.com"
"17","holcim@devigus.com"
"18","holcim@devigus.com"
"19","investor.relations@holcim.com"
"20","investor.relations@holcim.com"
"21","investor.relations@holcim.com"
"22","investor.relations@holcim.com"
"23","investor.relations@holcim.com"
"24","investor.relations@holcim.com"
"25","holcim@devigus.com"
"26","holcim@devigus.com"
"27","media@holcim.com"
"28","media@holcim.com"
"29","investor.relations@holcim.com"
"30","groupsd@holcim.com"
"31","media@holcim.com"
"32","group-staffing@holcim.com"
"33","innovation-communications@holcim.com"
"34","innovation-communications@holcim.com"
"35","wght@400;700"
"36","arg-comunicacionesexternas@lafargeholcim.com"
"37","arg-comunicacionesexternas@lafargeholcim.com"
"38","info-ch@lafargeholcim.com"
"39","info-ch@lafargeholcim.com"
"40","info.ca@lafargeholcim.com"
"41","info.ca@lafargeholcim.com"
"42","holcim-hrvatska@lafargeholcim.com"
"43","holcim-hrvatska@lafargeholcim.com"
"44","info@bemltd.com"
"45","info@bemltd.com"
"46","info-ch@lafargeholcim.com"
"47","info-ch@lafargeholcim.com"
"48","kommunikation-deu@lafargeholcim.com"
"49","kommunikation-deu@lafargeholcim.com"
"50","info.heracles@lafargeholcim.com"
"51","info.heracles@lafargeholcim.com"
"52","commercial-gin@lafargeholcim.com"
"53","commercial-gin@lafargeholcim.com"
"54","cementhungary@lafargeholcim.com"
"55","cementhungary@lafargeholcim.com"
