"","emails"
"1","info@btb-online.org"
"2","btb-gis@btb-online.org"
"3","info@btb-online.org"
"4","info@btb-online.org"
"5","btb-gis@btb-online.org"
"6","btb-gis@btb-online.org"
"7","btb-gis@btb-online.org"
"8","btb-gis@btb-online.org"
"9","btb-gis@btb-online.org"
"10","btb-gis@btb-online.org"
"11","btb-gis@btb-online.org"
"12","btb-gis@btb-online.org"
"13","btb-gis@btb-online.org"
"14","btb-gis@btb-online.org"
"15","btb-gis@btb-online.org"
"16","btb-gis@btb-online.org"
"17","btb-gis@btb-online.org"
"18","btb-gis@btb-online.org"
"19","btb-gis@btb-online.org"
"20","btb-gis@btb-online.org"
"21","btb-gis@btb-online.org"
"22","info@btb-online.org"
"23","info@btb-online.org"
"24","info@btb-online.org"
"25","info@btb-online.org"
